New variable name,Old variable name(from features.txt),Domain signals (time/frequency),body/gravity,accelerometer/gyroscope,jerk/jerk magnitude/magnitude,computations(mean/standarddeviation),axials(X/Y/Z)
VARIABLE,VARIABLE,FEATURE,FEATURE,FEATURE,FEATURE,FEATURE,FEATURE
time-body-accelerometer-mean-X,tBodyAcc-mean()-X,time,body,accelerometer,,mean,X
time-body-accelerometer-mean-Y,tBodyAcc-mean()-Y,time,body,accelerometer,,mean,Y
time-body-accelerometer-mean-Z,tBodyAcc-mean()-Z,time,body,accelerometer,,mean,Z
time-body-accelerometer-standarddeviation-X,tBodyAcc-std()-X,time,body,accelerometer,,standarddeviation,X
time-body-accelerometer-standarddeviation-Y,tBodyAcc-std()-Y,time,body,accelerometer,,standarddeviation,Y
time-body-accelerometer-standarddeviation-Z,tBodyAcc-std()-Z,time,body,accelerometer,,standarddeviation,Z
time-gravity-accelerometer-mean-X,tGravityAcc-mean()-X,time,gravity,accelerometer,,mean,X
time-gravity-accelerometer-mean-Y,tGravityAcc-mean()-Y,time,gravity,accelerometer,,mean,Y
time-gravity-accelerometer-mean-Z,tGravityAcc-mean()-Z,time,gravity,accelerometer,,mean,Z
time-gravity-accelerometer-standarddeviation-X,tGravityAcc-std()-X,time,gravity,accelerometer,,standarddeviation,X
time-gravity-accelerometer-standarddeviation-Y,tGravityAcc-std()-Y,time,gravity,accelerometer,,standarddeviation,Y
time-gravity-accelerometer-standarddeviation-Z,tGravityAcc-std()-Z,time,gravity,accelerometer,,standarddeviation,Z
time-body-accelerometer-jerk-mean-X,tBodyAccJerk-mean()-X,time,body,accelerometer,jerk,mean,X
time-body-accelerometer-jerk-mean-Y,tBodyAccJerk-mean()-Y,time,body,accelerometer,jerk,mean,Y
time-body-accelerometer-jerk-mean-Z,tBodyAccJerk-mean()-Z,time,body,accelerometer,jerk,mean,Z
time-body-accelerometer-jerk-standarddeviation-X,tBodyAccJerk-std()-X,time,body,accelerometer,jerk,standarddeviation,X
time-body-accelerometer-jerk-standarddeviation-Y,tBodyAccJerk-std()-Y,time,body,accelerometer,jerk,standarddeviation,Y
time-body-accelerometer-jerk-standarddeviation-Z,tBodyAccJerk-std()-Z,time,body,accelerometer,jerk,standarddeviation,Z
time-body-gyroscope-mean-X,tBodyGyro-mean()-X,time,body,gyroscope,,mean,X
time-body-gyroscope-mean-Y,tBodyGyro-mean()-Y,time,body,gyroscope,,mean,Y
time-body-gyroscope-mean-Z,tBodyGyro-mean()-Z,time,body,gyroscope,,mean,Z
time-body-gyroscope-standarddeviation-X,tBodyGyro-std()-X,time,body,gyroscope,,standarddeviation,X
time-body-gyroscope-standarddeviation-Y,tBodyGyro-std()-Y,time,body,gyroscope,,standarddeviation,Y
time-body-gyroscope-standarddeviation-Z,tBodyGyro-std()-Z,time,body,gyroscope,,standarddeviation,Z
time-body-gyroscope-jerk-mean-X,tBodyGyroJerk-mean()-X,time,body,gyroscope,jerk,mean,X
time-body-gyroscope-jerk-mean-Y,tBodyGyroJerk-mean()-Y,time,body,gyroscope,jerk,mean,Y
time-body-gyroscope-jerk-mean-Z,tBodyGyroJerk-mean()-Z,time,body,gyroscope,jerk,mean,Z
time-body-gyroscope-jerk-standarddeviation-X,tBodyGyroJerk-std()-X,time,body,gyroscope,jerk,standarddeviation,X
time-body-gyroscope-jerk-standarddeviation-Y,tBodyGyroJerk-std()-Y,time,body,gyroscope,jerk,standarddeviation,Y
time-body-gyroscope-jerk-standarddeviation-Z,tBodyGyroJerk-std()-Z,time,body,gyroscope,jerk,standarddeviation,Z
time-body-accelerometer-magnitude-mean,tBodyAccMag-mean(),time,body,accelerometer,magnitude,mean,
time-body-accelerometer-magnitude-standarddeviation,tBodyAccMag-std(),time,body,accelerometer,magnitude,standarddeviation,
time-gravity-accelerometer-magnitude-mean,tGravityAccMag-mean(),time,gravity,accelerometer,magnitude,mean,
time-gravity-accelerometer-magnitude-standarddeviation,tGravityAccMag-std(),time,gravity,accelerometer,magnitude,standarddeviation,
time-body-accelerometer-jerkmagnitude-mean,tBodyAccJerkMag-mean(),time,body,accelerometer,jerkmagnitude,mean,
time-body-accelerometer-jerkmagnitude-standarddeviation,tBodyAccJerkMag-std(),time,body,accelerometer,jerkmagnitude,standarddeviation,
time-body-gyroscope-magnitude-mean,tBodyGyroMag-mean(),time,body,gyroscope,magnitude,mean,
time-body-gyroscope-magnitude-standarddeviation,tBodyGyroMag-std(),time,body,gyroscope,magnitude,standarddeviation,
time-body-gyroscope-jerkmagnitude-mean,tBodyGyroJerkMag-mean(),time,body,gyroscope,jerkmagnitude,mean,
time-body-gyroscope-jerkmagnitude-standarddeviation,tBodyGyroJerkMag-std(),time,body,gyroscope,jerkmagnitude,standarddeviation,
frequency-body-accelerometer-mean-X,fBodyAcc-mean()-X,frequency,body,accelerometer,,mean,X
frequency-body-accelerometer-mean-Y,fBodyAcc-mean()-Y,frequency,body,accelerometer,,mean,Y
frequency-body-accelerometer-mean-Z,fBodyAcc-mean()-Z,frequency,body,accelerometer,,mean,Z
frequency-body-accelerometer-standarddeviation-X,fBodyAcc-std()-X,frequency,body,accelerometer,,standarddeviation,X
frequency-body-accelerometer-standarddeviation-Y,fBodyAcc-std()-Y,frequency,body,accelerometer,,standarddeviation,Y
frequency-body-accelerometer-standarddeviation-Z,fBodyAcc-std()-Z,frequency,body,accelerometer,,standarddeviation,Z
frequency-body-accelerometer-jerk-mean-X,fBodyAccJerk-mean()-X,frequency,body,accelerometer,jerk,mean,X
frequency-body-accelerometer-jerk-mean-Y,fBodyAccJerk-mean()-Y,frequency,body,accelerometer,jerk,mean,Y
frequency-body-accelerometer-jerk-mean-Z,fBodyAccJerk-mean()-Z,frequency,body,accelerometer,jerk,mean,Z
frequency-body-accelerometer-jerk-standarddeviation-X,fBodyAccJerk-std()-X,frequency,body,accelerometer,jerk,standarddeviation,X
frequency-body-accelerometer-jerk-standarddeviation-Y,fBodyAccJerk-std()-Y,frequency,body,accelerometer,jerk,standarddeviation,Y
frequency-body-accelerometer-jerk-standarddeviation-Z,fBodyAccJerk-std()-Z,frequency,body,accelerometer,jerk,standarddeviation,Z
frequency-body-gyroscope-mean-X,fBodyGyro-mean()-X,frequency,body,gyroscope,,mean,X
frequency-body-gyroscope-mean-Y,fBodyGyro-mean()-Y,frequency,body,gyroscope,,mean,Y
frequency-body-gyroscope-mean-Z,fBodyGyro-mean()-Z,frequency,body,gyroscope,,mean,Z
frequency-body-gyroscope-standarddeviation-X,fBodyGyro-std()-X,frequency,body,gyroscope,,standarddeviation,X
frequency-body-gyroscope-standarddeviation-Y,fBodyGyro-std()-Y,frequency,body,gyroscope,,standarddeviation,Y
frequency-body-gyroscope-standarddeviation-Z,fBodyGyro-std()-Z,frequency,body,gyroscope,,standarddeviation,Z
frequency-body-accelerometer-magnitude-mean,fBodyAccMag-mean(),frequency,body,accelerometer,magnitude,mean,
frequency-body-accelerometer-magnitude-standarddeviation,fBodyAccMag-std(),frequency,body,accelerometer,magnitude,standarddeviation,
frequency-body-accelerometer-jerkmagnitude-mean,fBodyBodyAccJerkMag-mean(),frequency,body,accelerometer,jerkmagnitude,mean,
frequency-body-accelerometer-jerkmagnitude-standarddeviation,fBodyBodyAccJerkMag-std(),frequency,body,accelerometer,jerkmagnitude,standarddeviation,
frequency-body-gyroscope-magnitude-mean,fBodyBodyGyroMag-mean(),frequency,body,gyroscope,magnitude,mean,
frequency-body-gyroscope-magnitude-standarddeviation,fBodyBodyGyroMag-std(),frequency,body,gyroscope,magnitude,standarddeviation,
frequency-body-gyroscope-jerkmagnitude-mean,fBodyBodyGyroJerkMag-mean(),frequency,body,gyroscope,jerkmagnitude,mean,
frequency-body-gyroscope-jerkmagnitude-standarddeviation,fBodyBodyGyroJerkMag-std(),frequency,body,gyroscope,jerkmagnitude,standarddeviation,
